Field=#~Integer~#~50|Field=Comment~String~Comment~83|Field=Description~String~Description~83|Field=Designator~String~Designator~83|Field=Footprint~String~Footprint~63|Field=LibRef~String~LibRef~63|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~75|Field=Quantity~Integer~Quantity~63|Field=RoHS~String~RoHS~63|Field=Supplier 1~String~Supplier 1~75|Field=Supplier Part Number 1~String~Supplier Part Number 1~75|Field=Value~String~Value~63|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PAS.PrjPCB|ReportField=ProjectFullPath~C:\Users\Stephen A. Anthony\Documents\UoC Elektrotechniek\Elektrotechniek 2017 - 2018\Project 2\Altium PCB Project Files\PAS.PrjPCB|ReportField=Title~Bill of Materials For PCB Document [PAS_PCB.PcbDoc]|ReportField=ReportTime~9:06:22 PM|ReportField=ReportDate~11/6/2018|ReportField=ReportDateTime~11/6/2018 9:06:22 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~38|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~da24e9b47fd6a046a9135db41dbedacea1576bd8|ReportField=DataSourceFileName~PAS_PCB.PcbDoc|ReportField=DataSourceFullPath~C:\Users\Stephen A. Anthony\Documents\UoC Elektrotechniek\Elektrotechniek 2017 - 2018\Project 2\Altium PCB Project Files\PAS_PCB.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Capacitor|Capacitor|C1, C2, C3, C4, C5, C6, C7|AXIAL_0.2|CAP_100nF, CAP_10µF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKyocera%2520AVX%252C%2520TDK%26mpn%3DSR215C104KAR%252C%2520FG20X7S1H106KRT06%26seller%3DDigi-Key%26sku%3D478-3188-ND%252C%2520445-173302-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}SR215C104KAR,%20FG20X7S1H106KRT06{URL.TIP}Manufacturer|7||Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKyocera%2520AVX%252C%2520TDK%26mpn%3DSR215C104KAR%252C%2520FG20X7S1H106KRT06%26seller%3DDigi-Key%26sku%3D478-3188-ND%252C%2520445-173302-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}478-3188-ND,%20445-173302-1-ND{URL.TIP}Supplier|100nF, 10µF
2|LED1|Green 568nm LED Indication - Discrete 2.2V Radial, Typical RED GaAs LED|D1, D2, D3, D4, D5, D6|LED-1|LED_Green, LED_Red|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKingbright%26mpn%3DWP63GD%252C%2520WP1503SRD%26seller%3DDigi-Key%26sku%3D754-1474-ND%252C%2520754-1871-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}WP63GD,%20WP1503SRD{URL.TIP}Manufacturer|6||Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKingbright%26mpn%3DWP63GD%252C%2520WP1503SRD%26seller%3DDigi-Key%26sku%3D754-1474-ND%252C%2520754-1871-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}754-1474-ND,%20754-1871-ND{URL.TIP}Supplier|
3|ESP-01|802.11b/g/n Wi-Fi SOC module|ESP-1|ESP-01|ESP-01|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|||{URL}{URL.TEXT}{URL.TIP}Supplier|
4|Header 5X2|Header, 5-Pin, Dual row|H1|HDR2X5|Header 5X2|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|||{URL}{URL.TEXT}{URL.TIP}Supplier|
5|Inductor|5.6µH Shielded Molded Inductor 335mA 720 mOhm Max Axial|L1|AXIAL_0.2|Inductor_5.6µH|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DBourns%26mpn%3D9250A-562-RC%26seller%3DDigi-Key%26sku%3DM10123-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}9250A-562-RC{URL.TIP}Manufacturer|1||Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DBourns%26mpn%3D9250A-562-RC%26seller%3DDigi-Key%26sku%3DM10123-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}M10123-ND{URL.TIP}Supplier|5.6µH
6|Res1|1.15 kOhms ±1% 0.4W Through Hole Resistor Axial Metal Film, 10 kOhms ±1% 0.25W, 1/4W Through Hole Resistor Axial Flame Retardant Coating, Safety Metal Film, 1 kOhms ±1% 0.25W, 1/4W Through Hole Resistor Axial Flame Retardant Coating, Safety Metal Film, 130 Ohms ±1% 0.25W, 1/4W Through Hole Resistor Axial Metal Film, 510 Ohms ±1% 0.25W, 1/4W Through Hole Resistor Axial Flame Retardant Coating, Safety Metal Film, 73.2 Ohms ±1% 0.25W, 1/4W Through Hole Resistor Axial Metal Film|R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16|AXIAL-0.3|Res_1.15K, Res_10K, Res_1K, Res_130, Res_510, Res_73.2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520BCcomponents%252C%2520Stackpole%2520Electronics%252C%2520Yageo%26mpn%3DSFR2500001151FR500%252C%2520RNF14FTD10K0%252C%2520RNF14FTD1K00%252C%2520MFR-25FBF52-130R%252C%2520RNMF14FTC510R%252C%2520MFR-25FBF52-73R2%26seller%3DDigi-Key%26sku%3DPPC1.15KYCT-ND%252C%2520RNF14FTD10K0CT-ND%252C%2520RNF14FTD1K00CT-ND%252C%2520130XBK-ND%252C%2520S510CACT-ND%252C%252073.2XBK-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}SFR2500001151FR500,%20RNF14FTD10K0,%20RNF14FTD1K00,%20MFR-25FBF52-130R,%20RNMF14FTC510R,%20MFR-25FBF52-73R2{URL.TIP}Manufacturer|16||Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520BCcomponents%252C%2520Stackpole%2520Electronics%252C%2520Yageo%26mpn%3DSFR2500001151FR500%252C%2520RNF14FTD10K0%252C%2520RNF14FTD1K00%252C%2520MFR-25FBF52-130R%252C%2520RNMF14FTC510R%252C%2520MFR-25FBF52-73R2%26seller%3DDigi-Key%26sku%3DPPC1.15KYCT-ND%252C%2520RNF14FTD10K0CT-ND%252C%2520RNF14FTD1K00CT-ND%252C%2520130XBK-ND%252C%2520S510CACT-ND%252C%252073.2XBK-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}PPC1.15KYCT-ND,%20RNF14FTD10K0CT-ND,%20RNF14FTD1K00CT-ND,%20130XBK-ND,%20S510CACT-ND,%2073.2XBK-ND{URL.TIP}Supplier|1.15KΩ, 10KΩ, 10Ω, 130Ω, 510KΩ, 73.2Ω
7|SW-SPST|Tactile Switch SPST-NO Top Actuated Through Hole|S1|SW-SPST-1|SW-SPST_B3F-1000|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOmron%26mpn%3DB3F-1000%26seller%3DDigi-Key%26sku%3DSW400-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}B3F-1000{URL.TIP}Manufacturer|1||Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOmron%26mpn%3DB3F-1000%26seller%3DDigi-Key%26sku%3DSW400-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}SW400-ND{URL.TIP}Supplier|
8|6-pole Terminal Block||TB1|Molex WM7862-ND|6-pole Terminal Block|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D0393570006%26seller%3DDigi-Key%26sku%3DWM7862-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}0393570006{URL.TIP}Manufacturer|1||Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D0393570006%26seller%3DDigi-Key%26sku%3DWM7862-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}WM7862-ND{URL.TIP}Supplier|
9|IlD74|Optoisolator Transistor Output 5300Vrms 2 Channel 8-DIP|U1, U2|DIP-8|IlD74|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Semiconductors%26mpn%3DILD74%26seller%3DDigi-Key%26sku%3DILD74-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ILD74{URL.TIP}Manufacturer|2||Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Semiconductors%26mpn%3DILD74%26seller%3DDigi-Key%26sku%3DILD74-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}ILD74-ND{URL.TIP}Supplier|
10|PIC18F45K22-I/P|Low-Power, High-Performance Microcontroller with XLP Technology, 64 MHz, 35 I/O, -40 to 85 degC, 40-pin PDIP (P40), Tube|U3|MCHP-PDIP-P40|PIC18F45K22-I/P|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3DPIC18F45K22-I%252FP%26seller%3DDigi-Key%26sku%3DPIC18F45K22-I%252FP-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}PIC18F45K22-I%2FP{URL.TIP}Manufacturer|1|TRUE|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3DPIC18F45K22-I%252FP%26seller%3DDigi-Key%26sku%3DPIC18F45K22-I%252FP-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}PIC18F45K22-I%2FP-ND{URL.TIP}Supplier|
11|REG|Non-Isolated DC/DC Converters 0.5A DC/DC REG 4.75-34Vin 3.3Vout|VR1|SIP3|R-783.3-0.5|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DRecom%26mpn%3DR-783.3-0.5%26seller%3DDigi-Key%26sku%3D945-1035-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}R-783.3-0.5{URL.TIP}Manufacturer|1||Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DRecom%26mpn%3DR-783.3-0.5%26seller%3DDigi-Key%26sku%3D945-1035-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}945-1035-ND{URL.TIP}Supplier|
